CVE_COL,ID_COL,COLONIA,CP,CLASIF,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,SUN_2018,NOM_SUN,POB_TOT,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVHAC,OVSREF,OVSINT,OVSCEL,IM_2020,GM_2020,IMN_2020,ENTIDAD,fn_COLONIA,NOM_ENT_etq,marginacion_z
11003_0047,21209.0,Insurgentes,37712,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,4104.56897354126,6.43647653273966,15.1766193735377,29.6394364780098,0.0,0.0,0.0162747462537564,0.287655846994355,9.38921899000582,1.21630415935427,8.44331895731615,2.75817153089582,151.463825098431,Bajo,0.965672841531335,Guanajuato,,Guanajuato,0.8006277672090908
11003_0048,21210.0,Itzquinapan,0,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,1150.77593314648,3.38280825405881,14.4663712417119,37.69178939336,0.0,0.0634847779793207,0.009424981536159,0.140634725796563,9.75896535441376,1.26709059992512,8.26273200703038,4.19955542817697,151.480588275993,Bajo,0.965779716854857,Guanajuato,,Guanajuato,0.8055135942553405
11003_0049,21213.0,Jardines 11,37744,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,57.7080039978027,7.21649475142149,9.10493846666326,24.0786249356603,0.0,0.0,0.0,0.0,3.32512323729088,0.615763552862365,6.4197529419523,3.07881771247772,152.377048574844,Bajo,0.971495189599248,Guanajuato,,Guanajuato,1.0667975875682143
11003_0050,21215.0,Jesus Maria,0,Localidad,11,Guanajuato,11003,San Miguel de Allende,110030129.0,Jesús María la Petaca,,,186.71533203125,9.99999983990747,40.2758620094819,27.3726257845814,0.303951355998154,0.354609920737884,0.607902711996308,2.0770009921278,24.2654513749229,8.15602850137363,64.1843961077203,13.3738597936797,146.311155982674,Alto,0.932821481655466,Guanajuato,,Guanajuato,-0.7011787985813651
11003_0051,21217.0,La Aldea,0,Barrio,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,166.57373046875,5.38243622824765,24.2292346149907,40.1451051107746,0.0,0.0,0.0603136330819297,0.0,16.0735827332673,2.47285899214186,15.8323292028563,7.41857669016366,149.652902964906,Medio,0.954127125441461,Guanajuato,,Guanajuato,0.2728130193250615
11003_0052,21218.0,La Aurora,37715,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,339.121841430664,6.89391493558355,22.3743320683554,32.3928566686656,0.016395004644009,0.08544980666086,0.016395004644009,0.535064487780218,13.8326877600721,1.2191788063773,18.8922859845169,7.77757120166716,149.964481600234,Bajo,0.956113626349789,Guanajuato,,Guanajuato,0.36362631041427246
11003_0053,21221.0,La Cañada,37796,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,32.2080383300781,10.930185514929,2.79568077966758,44.5051837325053,0.0,0.0,0.0,0.517721395673639,1.8362303076129,0.162529043064545,3.02209938711932,1.37252198579041,150.628205074617,Bajo,0.96034526207589,Guanajuato,,Guanajuato,0.5570763941096254
11003_0054,21224.0,La Colina,37720,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,118.669231414795,6.37663251014541,25.7949797401217,40.908095288676,0.0,0.0,0.0,0.684176813878076,17.6073553623465,1.9760533257859,14.0194881013944,5.7048608599039,149.300092944048,Medio,0.951877749690246,Guanajuato,,Guanajuato,0.16998235158804523
11003_0055,21227.0,La Escondida,37790,Residencial,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,29.6482067108154,3.98009961920958,6.11735326330384,30.4307992968953,0.0,0.0,0.0,0.274977079069819,6.41613231405491,0.183318061089864,5.40788278958601,0.824931287469364,152.907231369716,Muy bajo,0.974875423300081,Guanajuato,,Guanajuato,1.2213256553560317
11003_0056,21230.0,La Lejona,37765,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,810.435037612915,9.27532691089626,18.9341764758037,57.1532393102118,0.0,0.129956042969671,0.0513426073914805,1.69237345867114,17.4530887566272,2.00368095399368,21.0938092253435,5.76098756230063,147.642178029755,Medio,0.941307546506334,Guanajuato,,Guanajuato,-0.3132366263573993
