municipio_obs,geo_id,camas_x100k_2024,enfermeras_x100k_2024,mort_diab_hta_2024,mort_diabetes_2021,mort_diabetes_2024,camas_x100k_2023,mort_diabetes_2020,pobreza_pct_2020,mort_diab_hta_2023,mort_diab_hta_2022,mort_diab_hta_2020,carencia_salud_pct_2020,idx_marginacion_2020,camas_x100k_2022,mort_diab_hta_2021,camas_x100k_2021,mort_diabetes_2023,idx_rezago_2020,mort_diabetes_2022,camas_x100k_2020,enfermeras_x100k_2023,enfermeras_x100k_2021,enfermeras_x100k_2022,enfermeras_x100k_2020
Cuerámaro,11012,0.0,89.554912086928,8.955491208692797,122.345264610848,59.7032747246186,0.0,146.445512718474,51.8302713224,13.96266504780695,13.27775204570017,16.55471013339276,25.47234268,56.2000969935609,0.0,15.6852903347241,0.0,97.13158294126568,-0.63918,104.98687664042,0.0,109.273030808924,119.208206543903,111.162575266327,120.97672789787
Doctor Mora,11013,0.0,95.0957750305665,5.773672055427252,99.04492394764767,47.54788751528329,0.0,71.55635062611809,39.3661003641,8.606740799394085,8.032970103380833,7.871198568872988,23.20127301,55.5459682282103,0.0,9.904492394764768,0.0,75.7393190346679,-0.545608,69.851913942442,0.0,89.5101043136985,99.0449239476477,104.777870913663,114.490161001789
Dolores Hidalgo,11014,34.3806047548376,134.657368623114,9.569268323429808,107.334525939177,79.6484010153739,34.84401495969708,104.338805592077,53.0576928935,9.175590606053566,10.89427255703299,11.70042097390927,37.77985054,55.0125571352096,35.33277586064754,12.34347048300537,35.77817531305903,85.3678366512579,-0.432231,91.27633764000608,36.18686899147196,155.055866570652,152.653548002385,149.575417810075,159.825338045668
Guanajuato,11015,66.661476478717,211.662352322933,8.758442165086903,97.3558355790414,73.9601782829561,67.35562788228006,93.6116382036686,33.4334983247,9.587114917550814,10.78619962919332,10.72738772928526,18.98708025,58.5616972804428,66.60602535999563,12.14438773717939,67.24578333810075,80.1384477723478,-1.030786,90.464900115815,67.80518659076533,234.02393337201,242.887754743588,242.565226684163,245.414294750158
Huanímaro,11016,37.6967298086891,146.07482800867,15.078691923475638,234.785875281743,127.226463104326,37.66655680587598,140.377146600533,49.4217310454,16.008286642497293,19.76005645730417,15.44148612605868,13.34935639,56.1618594066586,37.63820277581745,29.11344853493614,37.56574004507889,127.124629219831,-0.671679,178.781463185133,37.43390576014225,178.916144827911,187.828700225394,197.600564573042,182.490290580693
Irapuato,11017,68.1757535129225,220.79832342968,11.454828275202248,124.010934154995,95.348428540746,68.57958423422465,118.831364167441,35.5083892839,11.980967937816812,11.26771700239192,13.81102987736271,25.12219342,58.7609194025885,68.36407245603284,14.50381553001015,57.45232864056532,101.150794884847,-1.038608,97.192295780866,66.31288713679568,224.888660472135,218.219507631888,223.377547591278,214.727444062005
Jaral del Progreso,11018,50.155481994182,220.684120774401,14.545089778312768,142.189721714402,120.373156786037,50.37656482204479,137.401083941884,54.972117575,12.594141205511196,12.65470375338513,17.5568051703519,15.95633673,56.9345416463024,50.61881501354054,17.26589477960593,50.78204346942921,93.1966449207828,-0.843632,98.706689276404,50.88929034884608,234.251026422508,276.762136908389,250.563134317026,264.624309814
Jerécuaro,11019,35.7596948506039,196.678321678322,18.674507310870943,247.307538891105,160.918626827718,35.8045073896525,171.379605826907,58.6753180256,15.913114395401108,22.72138401132083,18.93146808553038,13.63573584,53.9809899283802,35.87586949155921,26.72516952532908,35.89948145193458,141.228890259185,-0.247495,195.324178342933,35.8701500567944,210.848765739065,207.419226166733,211.269009228071,199.278611426636
León,11020,96.6308302581431,314.198736507333,8.793459567370432,92.7443475280108,71.1902930577041,92.66642006767772,105.292233028547,45.8862788678,8.696724343430192,9.50622688454412,12.17851627549698,26.72374925,59.0793372109962,108.0784016188954,10.72902695111274,104.8659491806079,70.0341128601373,-1.054585,79.87678060974461,105.1210261455738,343.375392160892,349.6659230205,343.815028515899,349.03376542146
Manuel Doblado,11008,38.8163302584711,212.348159649283,10.046579596310163,115.78997117066,86.765914695406,39.26550409978057,81.1068702290076,50.1558132054,11.54867767640605,10.75344227037894,10.25763358778626,25.33494817,55.7576546289023,39.74098230357435,12.52422137152039,40.17203081431069,99.318628017092,-0.493599,91.1704888140823,40.55343511450381,214.805404781153,219.764639160641,205.718026042032,240.935114503817
Moroleón,11021,78.3782066218993,252.081259135298,15.46380833350986,185.294365366799,131.336454339399,78.23898839102579,127.936241610738,46.8772382159,19.45401873506587,15.41450230161747,14.68120805369128,17.35594936,58.3975353685313,78.12829933696524,20.63505432493893,77.90785816558578,183.967351081601,-0.923447,143.587144727396,77.6006711409396,268.550041234061,263.202223532384,272.3932598505,278.942953020134
